date,time,temperature,relative_humidity,pressure_mb,wind_speed_km/h,precipitation_mm,precipitation_type,location_id,location_town_id,location_town_district_id,location_town_district_region_id ,location_user_id 
2021-10-20,20:47:20,-4,42.201416,1131,97,38,rain,15,554782,CZ0100,CZ010,430
2022-11-09,17:39:07,37,51.05766,1014,8,294,rain,15,554782,CZ0100,CZ010,431
2022-12-21,03:21:10,5,55.225437,1062,85,417,rain,15,554782,CZ0100,CZ010,432
2021-04-28,08:23:25,20,53.941814,869,26,240,rain,15,554782,CZ0100,CZ010,433
2022-06-30,11:25:09,14,51.451538,1087,73,149,rain,15,554782,CZ0100,CZ010,434
2022-07-13,02:04:25,34,57.894985,1020,71,102,rain,15,554782,CZ0100,CZ010,435
2022-06-10,11:57:33,25,97.96009,1027,18,276,rain,15,554782,CZ0100,CZ010,436
2021-12-22,12:23:28,34,95.71194,1006,61,232,rain,15,554782,CZ0100,CZ010,437
2022-08-01,02:35:05,21,59.732674,1035,95,419,rain,15,554782,CZ0100,CZ010,438
2021-04-27,17:13:03,20,40.723114,973,86,489,rain,15,554782,CZ0100,CZ010,439
2021-06-18,02:25:26,-7,56.38648,1158,74,null,null,15,554782,CZ0100,CZ010,440
2022-08-02,19:09:50,13,80.71982,849,82,348,rain,15,554782,CZ0100,CZ010,441
2022-11-19,11:50:21,6,82.555405,976,79,178,rain,15,554782,CZ0100,CZ010,442
2021-07-09,22:59:31,32,48.290108,1075,57,310,rain,15,554782,CZ0100,CZ010,443
2022-03-19,12:47:14,23,62.16298,1192,96,3,rain,15,554782,CZ0100,CZ010,444
2022-10-01,07:56:56,-9,38.056328,999,51,55,rain,15,554782,CZ0100,CZ010,445
2022-06-23,05:00:58,34,24.55846,897,10,275,rain,15,554782,CZ0100,CZ010,446
2023-01-19,02:46:36,-5,36.55262,1113,30,287,rain,15,554782,CZ0100,CZ010,447
2021-06-22,14:06:26,10,50.951153,1154,42,172,rain,15,554782,CZ0100,CZ010,448
2021-05-14,05:40:16,4,51.093834,1063,100,353,rain,15,554782,CZ0100,CZ010,449
2021-01-04,00:59:37,29,49.630833,1101,12,6,rain,15,554782,CZ0100,CZ010,450
2021-12-15,23:52:31,33,10.15119,995,119,207,rain,15,554782,CZ0100,CZ010,451
2022-12-02,08:22:42,32,22.894716,848,86,398,rain,15,554782,CZ0100,CZ010,452
2021-03-14,18:22:11,22,31.319069,893,16,437,rain,15,554782,CZ0100,CZ010,453
2021-01-10,14:21:42,31,71.39081,1109,113,145,rain,15,554782,CZ0100,CZ010,454
2022-07-04,02:50:38,-6,53.775192,1075,15,420,rain,15,554782,CZ0100,CZ010,455
2022-04-02,13:47:00,31,21.692616,880,37,76,rain,15,554782,CZ0100,CZ010,456
2021-11-13,00:15:59,34,81.36607,1068,44,210,rain,15,554782,CZ0100,CZ010,457
2022-05-04,16:03:13,0,37.192177,970,9,204,rain,15,554782,CZ0100,CZ010,458
2021-04-23,06:20:01,3,60.16529,1054,51,311,rain,15,554782,CZ0100,CZ010,459
2022-10-30,08:03:42,17,88.81235,1067,42,441,rain,15,554782,CZ0100,CZ010,460
2022-11-13,21:23:11,31,36.792446,813,112,41,rain,15,554782,CZ0100,CZ010,461
2022-02-10,12:20:27,22,22.082407,971,47,146,rain,15,554782,CZ0100,CZ010,462
2022-06-10,22:20:38,39,68.774155,1095,0,320,rain,15,554782,CZ0100,CZ010,463
2021-09-27,13:17:46,32,86.77549,1111,21,127,rain,15,554782,CZ0100,CZ010,464
2021-10-09,14:00:23,12,75.43417,984,118,193,rain,15,554782,CZ0100,CZ010,465
2021-09-22,01:25:15,11,49.722298,961,54,257,rain,15,554782,CZ0100,CZ010,466
2021-10-09,10:45:50,17,33.528442,1075,58,341,rain,15,554782,CZ0100,CZ010,467
2021-07-25,14:27:27,34,48.962425,807,62,350,rain,15,554782,CZ0100,CZ010,468
2021-09-02,09:33:33,0,76.34516,1111,67,81,rain,15,554782,CZ0100,CZ010,469
2021-07-14,16:32:10,-8,84.43017,1038,7,442,rain,15,554782,CZ0100,CZ010,470
2021-04-06,14:09:45,20,63.242184,871,48,178,rain,15,554782,CZ0100,CZ010,471
2022-12-08,23:24:00,1,38.67231,874,24,179,rain,15,554782,CZ0100,CZ010,472
2021-07-08,00:30:06,21,71.69257,949,96,80,rain,15,554782,CZ0100,CZ010,473
2022-09-12,13:13:44,20,25.536316,981,119,19,rain,15,554782,CZ0100,CZ010,474
2021-01-15,17:12:37,1,55.37166,987,89,100,rain,15,554782,CZ0100,CZ010,475
2022-11-25,06:50:33,-3,99.44337,1136,7,null,null,15,554782,CZ0100,CZ010,476
2022-06-29,22:43:32,21,9.167653,1031,104,416,rain,15,554782,CZ0100,CZ010,477
2022-10-13,09:16:25,21,4.488778,971,116,284,rain,15,554782,CZ0100,CZ010,478
2022-08-03,09:57:01,0,37.133724,1086,98,475,rain,15,554782,CZ0100,CZ010,479
2021-11-15,00:56:44,-1,65.65875,804,32,433,rain,15,554782,CZ0100,CZ010,480
2021-09-06,12:56:53,17,69.4254,979,9,429,rain,15,554782,CZ0100,CZ010,481
2022-10-14,22:21:56,38,73.06575,812,4,295,rain,15,554782,CZ0100,CZ010,482
2022-08-23,04:27:59,16,59.507538,880,15,299,rain,15,554782,CZ0100,CZ010,483
2021-03-22,10:41:31,15,17.565065,1026,50,275,rain,15,554782,CZ0100,CZ010,484
2022-04-13,20:00:49,-7,23.038525,814,65,173,rain,15,554782,CZ0100,CZ010,485
2022-11-23,10:26:24,10,53.110153,1116,67,194,rain,15,554782,CZ0100,CZ010,486
2021-08-15,08:37:58,26,64.08732,1065,81,104,rain,15,554782,CZ0100,CZ010,487
2021-08-08,04:02:56,-2,99.90918,913,97,473,rain,15,554782,CZ0100,CZ010,488
2022-11-05,04:31:52,4,70.00886,1111,91,466,rain,15,554782,CZ0100,CZ010,489
2022-11-06,18:32:07,2,33.960297,984,94,305,rain,15,554782,CZ0100,CZ010,490
2021-02-25,20:59:34,25,72.75011,948,4,47,rain,15,554782,CZ0100,CZ010,491
2022-05-27,13:23:40,-6,46.912205,1023,92,165,rain,15,554782,CZ0100,CZ010,492
2021-05-24,13:25:06,23,57.90081,1009,99,295,rain,15,554782,CZ0100,CZ010,493
2021-12-20,19:45:16,29,81.81937,1109,53,75,rain,15,554782,CZ0100,CZ010,494
2021-11-10,05:16:57,23,81.056725,889,109,55,rain,15,554782,CZ0100,CZ010,495
2022-04-05,05:09:53,30,38.264935,1032,58,267,rain,15,554782,CZ0100,CZ010,496
2021-03-20,14:56:59,10,93.33879,885,82,371,rain,15,554782,CZ0100,CZ010,497
2021-03-27,01:31:52,21,8.362084,1091,74,299,rain,15,554782,CZ0100,CZ010,498
2021-02-20,12:07:38,38,71.4394,860,75,null,null,15,554782,CZ0100,CZ010,499
2021-04-05,03:34:16,38,47.830784,1046,78,297,rain,15,554782,CZ0100,CZ010,500
2021-12-22,10:17:20,34,37.44688,966,84,376,rain,15,554782,CZ0100,CZ010,501
2022-12-19,21:07:12,28,15.656966,841,38,482,rain,15,554782,CZ0100,CZ010,502
2021-10-11,14:47:46,18,87.581055,1006,58,395,rain,15,554782,CZ0100,CZ010,503
2021-07-04,17:56:50,18,86.92361,1041,37,162,rain,15,554782,CZ0100,CZ010,504
2023-01-19,18:46:05,-6,45.621674,1035,79,410,rain,15,554782,CZ0100,CZ010,505
2022-09-07,06:12:23,19,36.78903,861,113,36,rain,15,554782,CZ0100,CZ010,506
2022-08-03,01:07:15,38,20.805973,851,98,476,rain,15,554782,CZ0100,CZ010,507
2021-12-05,06:36:26,-5,12.095922,822,7,192,rain,15,554782,CZ0100,CZ010,508
2022-05-13,18:19:35,36,82.946045,889,100,272,rain,15,554782,CZ0100,CZ010,509
