Název okresu,Samosprávný kraj,Územní kraj,Zkratka,Rozloha,Počet obyvatel,Hustota zalidnění,Počet obcí
,(kraj od roku 2000),(kraj v letech 1960–2020),,[km²],(ČSÚ 2022),[obyv./km²],
Okres Benešov,Středočeský kraj,Středočeský kraj,BN,"1 474,69",99 323,"67,4",114
Okres Beroun,Středočeský kraj,Středočeský kraj,BE,"703,71",96 624,"137,3",85
Okres Blansko,Jihomoravský kraj,Jihomoravský kraj,BK,"862,65",107 912,"125,1",116
Okres Brno-město,Jihomoravský kraj,Jihomoravský kraj,BM,"230,22",379 466,"1 648,6",1
Okres Brno-venkov,Jihomoravský kraj,Jihomoravský kraj,BI,"1 499,00",225 514,"150,4",187
Okres Bruntál,Moravskoslezský kraj,Severomoravský kraj,BR,"1 537,00",89 547,"58,3",67
Okres Břeclav,Jihomoravský kraj,Jihomoravský kraj,BV,"1 038,25",114 801,"110,6",63
Okres Česká Lípa,Liberecký kraj,Severočeský kraj,CL,"1 072,91",101 962,"95,0",59
Okres České Budějovice,Jihočeský kraj,Jihočeský kraj,CB,"1 638,30",195 533,"119,4",109
Okres Český Krumlov,Jihočeský kraj,Jihočeský kraj,CK,"1 614,00",60 096,"37,2",46
Okres Děčín,Ústecký kraj,Severočeský kraj,DC,"908,58",126 294,"139,0",52
Okres Domažlice,Plzeňský kraj,Západočeský kraj,DO,"1 051,87",54 391,"51,7",76
Okres Frýdek-Místek,Moravskoslezský kraj,Severomoravský kraj,FM,"1 208,49",212 347,"175,7",72
Okres Havlíčkův Brod,Kraj Vysočina,Východočeský kraj,HB,"1 264,95",93 692,"74,1",120
Okres Hodonín,Jihomoravský kraj,Jihomoravský kraj,HO,"1 099,13",151 096,"137,5",82
Okres Hradec Králové,Královéhradecký kraj,Východočeský kraj,HK,"891,62",162 400,"182,1",104
Okres Cheb,Karlovarský kraj,Západočeský kraj,CH,"1 045,94",87 958,"84,1",40
Okres Chomutov,Ústecký kraj,Severočeský kraj,CV,"936,00",121 480,"129,8",44
Okres Chrudim,Pardubický kraj,Východočeský kraj,CR,"992,62",103 746,"104,5",108
Okres Jablonec nad Nisou,Liberecký kraj,Severočeský kraj,JN,"438,89",90 171,"205,5",35
Okres Jeseník,Olomoucký kraj,Severomoravský kraj,JE,"718,96",36 752,"51,1",24
Okres Jičín,Královéhradecký kraj,Východočeský kraj,JC,"886,63",78 713,"88,8",111
Okres Jihlava,Kraj Vysočina,Jihomoravský kraj,JI,"1 199,32",112 415,"93,7",123
Okres Jindřichův Hradec,Jihočeský kraj,Jihočeský kraj,JH,"1 943,69",89 283,"45,9",106
Okres Karlovy Vary,Karlovarský kraj,Západočeský kraj,KV,"1 511,00",110 052,"72,8",55
Okres Karviná,Moravskoslezský kraj,Severomoravský kraj,KI,"356,24",240 319,"674,6",17
Okres Kladno,Středočeský kraj,Středočeský kraj,KD,"719,61",164 493,"228,6",100
Okres Klatovy,Plzeňský kraj,Západočeský kraj,KT,"1 945,69",84 614,"43,5",94
Okres Kolín,Středočeský kraj,Středočeský kraj,KO,"747,55",103 894,"139,0",90
Okres Kroměříž,Zlínský kraj,Jihomoravský kraj,KM,"795,67",103 445,"130,0",79
Okres Kutná Hora,Středočeský kraj,Středočeský kraj,KH,"916,93",75 683,"82,5",88
Okres Liberec,Liberecký kraj,Severočeský kraj,LI,"988,87",173 890,"175,8",59
Okres Litoměřice,Ústecký kraj,Severočeský kraj,LT,"1 032,16",117 582,"113,9",105
Okres Louny,Ústecký kraj,Severočeský kraj,LN,"1 121,00",85 381,"76,2",70
Okres Mělník,Středočeský kraj,Středočeský kraj,ME,"701,08",109 354,"156,0",69
Okres Mladá Boleslav,Středočeský kraj,Středočeský kraj,MB,"1 022,83",127 592,"124,7",120
Okres Most,Ústecký kraj,Severočeský kraj,MO,"467,16",106 773,"228,6",26
Okres Náchod,Královéhradecký kraj,Východočeský kraj,NA,"851,57",107 973,"126,8",78
Okres Nový Jičín,Moravskoslezský kraj,Severomoravský kraj,NJ,"881,59",149 919,"170,1",54
Okres Nymburk,Středočeský kraj,Středočeský kraj,NB,"846,40",101 120,"119,5",86
Okres Olomouc,Olomoucký kraj,Severomoravský kraj,OC,"1 608,00",233 588,"145,3",97
Okres Opava,Moravskoslezský kraj,Severomoravský kraj,OP,"1 116,00",173 753,"155,7",77
Okres Ostrava-město,Moravskoslezský kraj,Severomoravský kraj,OV,"331,53",312 104,"941,4",13
Okres Pardubice,Pardubický kraj,Východočeský kraj,PU,"880,09",172 224,"195,7",112
Okres Pelhřimov,Kraj Vysočina,Jihočeský kraj,PE,"1 290,00",71 571,"55,5",120
Okres Písek,Jihočeský kraj,Jihočeský kraj,PI,"1 127,00",70 769,"62,8",75
Okres Plzeň-jih,Plzeňský kraj,Západočeský kraj,PJ,"1 068,24",68 918,"64,5",99
Okres Plzeň-město,Plzeňský kraj,Západočeský kraj,PM,"261,46",188 407,"720,6",15
Okres Plzeň-sever,Plzeňský kraj,Západočeský kraj,PS,"1 286,79",80 666,"62,7",98
PRAHA,PRAHA,PRAHA,,,,,
Okres Praha-východ,Středočeský kraj,Středočeský kraj,PY,"754,91",188 384,"249,5",110
Okres Praha-západ,Středočeský kraj,Středočeský kraj,PZ,"580,63",151 093,"260,2",79
Okres Prachatice,Jihočeský kraj,Jihočeský kraj,PT,"1 377,00",50 230,"36,5",65
Okres Prostějov,Olomoucký kraj,Jihomoravský kraj,PV,"777,32",107 580,"138,4",97
Okres Přerov,Olomoucký kraj,Severomoravský kraj,PR,"854,00",126 613,"148,3",105
Okres Příbram,Středočeský kraj,Středočeský kraj,PB,"1 562,87",114 366,"73,2",120
Okres Rakovník,Středočeský kraj,Středočeský kraj,RA,"896,30",54 898,"61,2",83
Okres Rokycany,Plzeňský kraj,Západočeský kraj,RO,"657,00",48 770,"74,2",68
Okres Rychnov nad Kněžnou,Královéhradecký kraj,Východočeský kraj,RK,"981,78",78 424,"79,9",80
Okres Semily,Liberecký kraj,Východočeský kraj,SM,"662,33",71 547,"108,0",64
Okres Sokolov,Karlovarský kraj,Západočeský kraj,SO,"753,60",85 200,"113,1",38
Okres Strakonice,Jihočeský kraj,Jihočeský kraj,ST,"1 032,10",69 773,"67,6",112
Okres Svitavy,Pardubický kraj,Východočeský kraj,SY,"1 378,56",102 866,"74,6",116
Okres Šumperk,Olomoucký kraj,Severomoravský kraj,SU,"1 313,06",118 397,"90,2",78
Okres Tábor,Jihočeský kraj,Jihočeský kraj,TA,"1 326,00",101 363,"76,4",110
Okres Tachov,Plzeňský kraj,Západočeský kraj,TC,"1 378,68",52 941,"38,4",51
Okres Teplice,Ústecký kraj,Severočeský kraj,TP,"469,27",124 472,"265,2",34
Okres Trutnov,Královéhradecký kraj,Východočeský kraj,TU,"1 146,78",115 073,"100,3",75
Okres Třebíč,Kraj Vysočina,Jihomoravský kraj,TR,"1 463,00",109 183,"74,6",167
Okres Uherské Hradiště,Zlínský kraj,Jihomoravský kraj,UH,"991,37",139 829,"141,0",78
Okres Ústí nad Labem,Ústecký kraj,Severočeský kraj,UL,"404,44",116 916,"288,9",23
Okres Ústí nad Orlicí,Pardubický kraj,Východočeský kraj,UO,"1 267,00",135 682,"107,1",115
Okres Vsetín,Zlínský kraj,Severomoravský kraj,VS,"1 131,07",140 171,"123,9",59
Okres Vyškov,Jihomoravský kraj,Jihomoravský kraj,VY,"869,00",92 317,"106,2",79
Okres Zlín,Zlínský kraj,Jihomoravský kraj,ZL,"1 045,26",188 987,"180,8",91
Okres Znojmo,Jihomoravský kraj,Jihomoravský kraj,ZN,"1 590,50",113 462,"71,3",144
Okres Žďár nad Sázavou,Kraj Vysočina,Jihomoravský kraj,ZR,"1 578,51",117 164,"74,2",174
